2.2247 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
109.5039 	EXP 	grating: autoDraw = False
109.5041 	EXP 	window1: recordFrameIntervals = False
110.5032 	EXP 	fixation: autoDraw = True
111.5027 	EXP 	fixation: autoDraw = False
111.5027 	EXP 	grating: autoDraw = True
111.5027 	EXP 	grating: tex = 'sin'
111.8025 	EXP 	grating: autoDraw = False
111.8717 	EXP 	window1: recordFrameIntervals = False
111.8731 	DATA 	Keypress: left
111.8857 	EXP 	fixation: autoDraw = False
111.8857 	EXP 	grating: autoDraw = False
111.8859 	EXP 	window1: recordFrameIntervals = False
112.8851 	EXP 	fixation: autoDraw = True
113.8847 	EXP 	fixation: autoDraw = False
113.8847 	EXP 	grating: autoDraw = True
113.8847 	EXP 	grating: tex = 'sin'
114.1846 	EXP 	grating: autoDraw = False
114.2875 	EXP 	window1: recordFrameIntervals = False
114.2891 	DATA 	Keypress: left
114.3013 	EXP 	fixation: autoDraw = False
114.3013 	EXP 	grating: autoDraw = False
114.3017 	EXP 	window1: recordFrameIntervals = False
115.3005 	EXP 	fixation: autoDraw = True
116.3000 	EXP 	fixation: autoDraw = False
116.3000 	EXP 	grating: autoDraw = True
116.3000 	EXP 	grating: tex = 'sin'
116.6000 	EXP 	grating: autoDraw = False
116.6690 	EXP 	window1: recordFrameIntervals = False
116.6705 	DATA 	Keypress: right
116.6831 	EXP 	fixation: autoDraw = False
116.6831 	EXP 	grating: autoDraw = False
116.6833 	EXP 	window1: recordFrameIntervals = False
117.6828 	EXP 	fixation: autoDraw = True
118.6820 	EXP 	fixation: autoDraw = False
118.6820 	EXP 	grating: autoDraw = True
118.6820 	EXP 	grating: tex = 'sin'
118.9818 	EXP 	grating: autoDraw = False
119.0510 	EXP 	window1: recordFrameIntervals = False
119.0527 	DATA 	Keypress: left
119.0657 	EXP 	fixation: autoDraw = False
119.0657 	EXP 	grating: autoDraw = False
119.0660 	EXP 	window1: recordFrameIntervals = False
120.0649 	EXP 	fixation: autoDraw = True
121.0640 	EXP 	fixation: autoDraw = False
121.0640 	EXP 	grating: autoDraw = True
121.0640 	EXP 	grating: tex = 'sin'
121.3637 	EXP 	grating: autoDraw = False
121.4167 	DATA 	Keypress: left
121.4328 	EXP 	window1: recordFrameIntervals = False
121.4472 	EXP 	fixation: autoDraw = False
121.4472 	EXP 	grating: autoDraw = False
121.4474 	EXP 	window1: recordFrameIntervals = False
122.4466 	EXP 	fixation: autoDraw = True
123.4460 	EXP 	fixation: autoDraw = False
123.4460 	EXP 	grating: autoDraw = True
123.4460 	EXP 	grating: tex = 'sin'
123.7459 	EXP 	grating: autoDraw = False
123.7649 	EXP 	window1: recordFrameIntervals = False
123.7663 	DATA 	Keypress: left
123.7791 	EXP 	fixation: autoDraw = False
123.7791 	EXP 	grating: autoDraw = False
123.7794 	EXP 	window1: recordFrameIntervals = False
124.7790 	EXP 	fixation: autoDraw = True
125.7781 	EXP 	fixation: autoDraw = False
125.7781 	EXP 	grating: autoDraw = True
125.7781 	EXP 	grating: tex = 'sin'
126.0778 	EXP 	grating: autoDraw = False
126.0813 	EXP 	window1: recordFrameIntervals = False
126.0827 	DATA 	Keypress: right
126.0946 	EXP 	fixation: autoDraw = False
126.0946 	EXP 	grating: autoDraw = False
126.0949 	EXP 	window1: recordFrameIntervals = False
127.0944 	EXP 	fixation: autoDraw = True
128.0934 	EXP 	fixation: autoDraw = False
128.0934 	EXP 	grating: autoDraw = True
128.0934 	EXP 	grating: tex = 'sin'
128.3933 	EXP 	grating: autoDraw = False
128.5121 	EXP 	window1: recordFrameIntervals = False
128.5134 	DATA 	Keypress: right
128.5265 	EXP 	fixation: autoDraw = False
128.5265 	EXP 	grating: autoDraw = False
128.5267 	EXP 	window1: recordFrameIntervals = False
129.5260 	EXP 	fixation: autoDraw = True
130.5255 	EXP 	fixation: autoDraw = False
130.5255 	EXP 	grating: autoDraw = True
130.5255 	EXP 	grating: tex = 'sin'
130.8252 	EXP 	grating: autoDraw = False
130.8786 	EXP 	window1: recordFrameIntervals = False
130.8804 	DATA 	Keypress: right
130.8918 	EXP 	fixation: autoDraw = False
130.8918 	EXP 	grating: autoDraw = False
130.8923 	EXP 	window1: recordFrameIntervals = False
131.8911 	EXP 	fixation: autoDraw = True
132.8907 	EXP 	fixation: autoDraw = False
132.8907 	EXP 	grating: autoDraw = True
132.8907 	EXP 	grating: tex = 'sin'
133.1907 	EXP 	grating: autoDraw = False
133.1932 	EXP 	window1: recordFrameIntervals = False
133.1948 	DATA 	Keypress: right
133.2071 	EXP 	fixation: autoDraw = False
133.2071 	EXP 	grating: autoDraw = False
133.2074 	EXP 	window1: recordFrameIntervals = False
134.2066 	EXP 	fixation: autoDraw = True
135.2062 	EXP 	fixation: autoDraw = False
135.2062 	EXP 	grating: autoDraw = True
135.2062 	EXP 	grating: tex = 'sin'
135.5066 	EXP 	grating: autoDraw = False
135.5750 	EXP 	window1: recordFrameIntervals = False
135.5764 	DATA 	Keypress: left
135.5893 	EXP 	fixation: autoDraw = False
135.5893 	EXP 	grating: autoDraw = False
135.5896 	EXP 	window1: recordFrameIntervals = False
136.5891 	EXP 	fixation: autoDraw = True
137.5881 	EXP 	fixation: autoDraw = False
137.5881 	EXP 	grating: autoDraw = True
137.5881 	EXP 	grating: tex = 'sin'
137.8880 	EXP 	grating: autoDraw = False
138.0072 	EXP 	window1: recordFrameIntervals = False
138.0087 	DATA 	Keypress: left
138.0216 	EXP 	fixation: autoDraw = False
138.0216 	EXP 	grating: autoDraw = False
138.0218 	EXP 	window1: recordFrameIntervals = False
139.0206 	EXP 	fixation: autoDraw = True
140.0202 	EXP 	fixation: autoDraw = False
140.0202 	EXP 	grating: autoDraw = True
140.0202 	EXP 	grating: tex = 'sin'
140.3201 	EXP 	grating: autoDraw = False
140.3888 	EXP 	window1: recordFrameIntervals = False
140.3902 	DATA 	Keypress: left
